dec,ra,hSyntMag
-5.22253682089025,34.4513873113857,19.586896539999998
-5.15333709116542,34.4229223043304,25.301954809999998
-5.17598178933858,34.4507882314544,23.03793023
-5.15519810758038,34.3854320674816,22.62973135
-5.22005769992745,34.4539489519312,20.44798518
-5.25023820700647,34.4164267738057,16.665427299999998
-5.17617350531046,34.4528561045288,22.0736241
-5.24968742954897,34.391287512041,15.9007852
-5.1530857091453,34.4285520294482,20.302976160000004
-5.18849998652479,34.4580893674181,22.894290269999996
-5.21534921105103,34.3572649485805,23.29086196
-5.17803198561155,34.3590944252307,22.40854223
-5.15518179438492,34.3796156008655,21.49351035
-5.23474511246074,34.4480943618459,19.546314900000002
-5.170783,34.451569,
-5.21274729305015,34.3547970361588,
-5.15786530214881,34.4403020534851,16.692868400000002
-5.19454788301001,34.4611632708289,16.930468700000002
-5.20398904771616,34.4616314727701,24.560874069999997
-5.14649701339639,34.4138958408193,18.474549700000004
-5.25471028733567,34.4159984184756,19.50191101
-5.193405,34.463298,
-5.15562352768726,34.3722220868284,24.55975719
-5.22229467040707,34.3541126215401,11.8373032
-5.20905821698387,34.3504023704598,25.677377319999998
-5.2219047257458,34.3537087410238,
-5.21950368182173,34.3525775655949,20.08642909
-5.254937,34.426865,
-5.22581674678987,34.3547119970213,20.87707425
-5.15562278391877,34.3695232245806,22.76179866
-5.25903834645396,34.398534372043,19.633908299999998
-5.2424120085603,34.4493305399098,20.3873574
-5.1677247546211,34.3575120698005,14.7404692
-5.25910454328364,34.3968991523245,
-5.21577565554821,34.4652600444272,18.1912801
-5.19515588538314,34.467207157099,23.8567244
-5.25900770561103,34.4204844383883,18.856018759999998
-5.1526993206803,34.4445998905941,23.5256796
-5.14387444969023,34.429085061094,25.315666000000004
-5.174996,34.462938,
-5.2577229384579,34.4314201254513,21.11819435
-5.15620670273854,34.3629564338798,21.277193080000004
-5.15255182063972,34.4479936751262,22.7106586
-5.25633214459469,34.378271209201,26.55341199
-5.2532007677801,34.4421330726588,24.232751460000003
-5.19843717895334,34.4709179242423,
-5.2624797605475,34.4207064016737,17.2746227
-5.19273408521311,34.4705780314044,18.755973200000003
