dec,ra,hSyntMag
-27.8092559525879,53.2102355007531,12.694955499999999
-27.8093248706175,53.2105348510713,12.645501
-27.8773989783633,53.1377791043856,
-27.779416,53.058473,
-27.761932,53.07073,
-27.829161,53.208924,
-27.7362413534326,53.1408517745016,19.21725963
-27.8774876658901,53.1528968435561,20.01118432
-27.784278,53.209401,
-27.7463291296532,53.0861791707765,19.54442498
-27.8472000292305,53.0616343198425,
-27.8741,53.096299,
-27.794502,53.049653,
-27.7650211458486,53.2009539762583,18.843773499999998
-27.7351770851253,53.1529673866082,19.838172919999998
-27.7321,53.118066,
-27.8148180299334,53.2177394851247,
-27.7993836684197,53.0449443900058,19.005082599999998
-27.8761977204356,53.171091218894,19.4493304
-27.8703310296442,53.1837792336552,19.764422600000003
-27.7806086695177,53.0476217640375,19.46030525
-27.885031,53.113956,
-27.7358192184149,53.0930600594598,17.605953
-27.8803142056548,53.1681097951323,18.8215862
-27.8187830359698,53.0420187380494,17.900665399999998
-27.8677223197,53.1914762376487,15.192391200000001
-27.727408,53.128273,
-27.837048,53.21596,
-27.8143021089855,53.0405526944591,
-27.8082673499168,53.222733581404,16.912778
-27.870448,53.073235,
-27.7878775625106,53.2209995294005,18.2668272
-27.8500416717966,53.2103457768927,16.847734599999995
-27.88093,53.172856,
-27.7282718798154,53.1080455262233,16.9902395
-27.793885,53.04003,
-27.8524216915508,53.2094114628147,
-27.825464,53.222218,
-27.7910528722058,53.040163984374,16.455203800000003
-27.7889910042788,53.2227226802503,14.7911893
-27.7781633105707,53.0438181116818,18.506647500000003
-27.8019103841856,53.2250295694099,
-27.787847,53.040103,
-27.8667130379576,53.1980479330976,19.762991500000002
-27.885905,53.098168,
-27.781917,53.041313,
-27.7739981316401,53.2182448567972,13.5031172
-27.808519,53.03664,
-27.874549246972,53.0734672014851,
-27.773868,53.218999,
-27.8700229916328,53.0668436058255,16.303215299999998
-27.8927640058776,53.1328778111294,
-27.800962,53.035158,
-27.7846947260407,53.2251567383846,18.02168126
-27.852088,53.04807,
-27.8763299440226,53.07276710943,
-27.875561458698,53.0715064864486,
-27.8478361556837,53.2180323242919,19.896960560000004
-27.8178339654977,53.0340107775491,
-27.8191421228527,53.0340062981978,
-27.8210023531089,53.0337051176082,
-27.8224926739669,53.0338646708766,
